List,Task Name,Task Description,Status,Assignee,Responsable sugerido,Priority,Start Date,Due Date,Tags,Time Estimate (h),Escenario Make,Tipo,Bloqueado por
"1. Asociaciones — Cierre de Pruebas","Aplicar patrón multi-contacto a A-2.1","Riesgo conocido y documentado: A-2.1 usa el rollup de correo directo, así que una asociación con 2+ contactos hará fallar el Gmail. Aplicar el mismo patrón ya validado en A-1: Search Records sobre Contactos, envío individual por contacto y Aggregator antes de marcar el checkbox.","Por hacer","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","High","2026-08-05","2026-08-12","automatización,mejora,riesgo","4","A-2.1","Mejora",""
"2. Airtable y Drive — Config y Limpieza","Compartir carpeta raíz Asociaciones en Drive con el equipo","Los links de carpeta que llegan por correo no abren porque la carpeta padre no está compartida. Compartir la carpeta raíz Asociaciones como Editor con voluntariadocorporativo@ezer.org.mx y sistemas@encuentromundialdevalores.org. Los permisos se heredan a todas las subcarpetas existentes y futuras.","Por hacer","voluntariadocorporativo@ezer.org.mx","Equipo Voluntariado","Urgent","2026-07-29","2026-07-30","drive,permisos","1","","Configuración",""
"2. Airtable y Drive — Config y Limpieza","Agregar campo Convenio firmado a la vista Revisión de Convenios","La vista de interfaz donde el equipo marca Convenio revisado todavía no muestra la casilla Convenio firmado, necesaria para disparar A-6. Agregarla desde el editor de la interfaz y publicar.","Por hacer","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","Normal","2026-07-30","2026-07-31","airtable,interfaz","1","A-6","Configuración",""
"2. Airtable y Drive — Config y Limpieza","Eliminar campos marcados (obsoleto) en Organizaciones","Quedan varios campos con sufijo (obsoleto) de iteraciones anteriores (rollups sin separador, sector de apoyo viejo, etc.). No se pueden borrar por API, hay que eliminarlos a mano con clic derecho y Delete field.","Por hacer","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","Low","2026-08-03","2026-08-07","airtable,limpieza","2","","Limpieza",""
"2. Airtable y Drive — Config y Limpieza","Limpiar registros de prueba en Organizaciones y Contactos","Borrar todos los registros que empiezan con PRUEBA (aprox. 25 organizaciones y sus contactos) generados durante las pruebas. Hacerlo sólo cuando se cierren todas las pruebas, incluido A-3.","Por hacer","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","Normal","2026-08-12","2026-08-14","airtable,limpieza","2","","Limpieza",""
"2. Airtable y Drive — Config y Limpieza","Blindar A-1 contra flyer ausente en Config","Riesgo aceptado no simulado en vivo: si el adjunto del flyer se borra de la tabla Config, el módulo HTTP fallaría. Agregar un filtro URL Exists antes del módulo HTTP para que el escenario no truene.","Por hacer","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","Low","2026-08-17","2026-08-19","automatización,mejora","2","A-1","Mejora",""
"3. Migración de Datos Reales","Revisar y normalizar los 9 archivos CSV de asociaciones","Antes de importar: unificar nombres de columnas, validar formato de correos y teléfonos, quitar duplicados, y verificar que los municipios y sectores coincidan con las opciones ya definidas en Airtable.","Por hacer","","Equipo Voluntariado + Ethan","High","2026-08-12","2026-08-19","datos,migración","10","","Datos",""
"3. Migración de Datos Reales","Importar asociaciones reales a Airtable","Cargar los registros a las tablas Organizaciones y Contactos, respetando el vínculo entre ambas y dejando la Fase en Nuevo para que el flujo las tome de forma natural.","Por hacer","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","High","2026-08-19","2026-08-22","datos,migración,airtable","6","","Datos",""
"3. Migración de Datos Reales","Validar datos migrados y correr A-1 en modo controlado","Revisar el campo Contacto con problema después de la primera corrida real para detectar correos faltantes o mal capturados antes de mandar promoción masiva. Corregir los que salgan marcados.","Por hacer","","Equipo Voluntariado + Ethan","High","2026-08-24","2026-08-26","datos,validación,pruebas","6","A-1","Datos",""
"4. Flujo Empresas","Diseñar el mapa de escenarios del flujo Empresas","Definir los escenarios equivalentes del lado Empresas (E-1 promoción, E-2 seguimiento, E-3 reunión, E-4 captura, E-5 convenio/cotización, E-6 activación) y qué patrones se reutilizan tal cual del flujo de Asociaciones.","Por hacer","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","High","2026-08-26","2026-09-02","empresas,diseño","8","","Diseño",""
"4. Flujo Empresas","Construir E-1) Promoción inicial Empresas","Reutilizar los patrones ya validados: Router con fallback para contacto o correo faltante, validación de formato de correo con regex, envío individual por contacto e Iterator, Aggregator antes de marcar como enviado.","Por hacer","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","High","2026-09-02","2026-09-09","empresas,automatización","10","E-1","Automatización",""
"4. Flujo Empresas","Construir escenarios de seguimiento e inactividad Empresas","Equivalentes a A-2.1 y A-2.2, con los plazos que defina el equipo para empresas (pueden ser distintos a los 5 y 20 días de asociaciones).","Por hacer","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","Normal","2026-09-09","2026-09-16","empresas,automatización","8","E-2","Automatización",""
"4. Flujo Empresas","Construir Bloque 8: Recordatorios y Feedback","Pendiente explícito por definir con el equipo: qué significa exactamente vincular el feedback de las empresas. Aclarar si debe reflejarse en el registro de la asociación del evento, alimentar un reporte conjunto, o ambos, antes de construir.","Por hacer","","Equipo Voluntariado + Ethan","Normal","2026-09-16","2026-09-23","empresas,feedback,definir","8","E-6","Diseño",""
"4. Flujo Empresas","Pruebas end-to-end del flujo Empresas con casos de falla","Repetir la misma metodología usada en Asociaciones: casos de camino feliz más casos de falla deliberados (sin contacto, correo inválido, IDs inexistentes, reenvíos), documentando cada hallazgo y su fix.","Por hacer","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","High","2026-09-23","2026-09-30","empresas,pruebas","12","","Pruebas",""
"5. Legal y Seguros","Revisión legal de convenios, deslinde y aviso de privacidad","Un abogado en Nuevo León debe revisar una sola vez los tres formatos (convenio con asociación, convenio con empresa, carta de deslinde del voluntario) más el aviso de privacidad. Después ya sólo se reutilizan.","Por hacer","","Dirección EZER","Urgent","2026-07-29","2026-08-12","legal,externo","4","","Legal",""
"5. Legal y Seguros","Cotizar seguro por evento con 2-3 agentes en Monterrey","Paquete de Accidentes Personales colectivo temporal más Responsabilidad Civil de evento. Definir sumas aseguradas y número aproximado de voluntarios y beneficiarios antes de pedir cotización.","Por hacer","voluntariadocorporativo@ezer.org.mx","Equipo Voluntariado","High","2026-08-03","2026-08-17","seguros,externo","6","","Legal",""
"5. Legal y Seguros","Confirmar si la póliza corporativa de las empresas ya cubre voluntarios","Muchas empresas grandes ya cubren a sus colaboradores en actividades externas. Confirmarlo puede ahorrar el seguro de voluntarios por evento. Preguntar a cada empresa aliada antes de contratar.","Por hacer","voluntariadocorporativo@ezer.org.mx","Equipo Voluntariado","Normal","2026-08-10","2026-08-19","seguros,empresas","4","","Legal",""
"5. Legal y Seguros","Integrar carta de deslinde en el flujo de Voluntario","Cuando se construya la etapa de Voluntario, definir el mecanismo: firma en papel el día del evento, formulario digital previo, o firma electrónica. Depende de la revisión legal previa.","Por hacer","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","Low","2026-09-30","2026-10-07","voluntario,legal,diseño","6","","Diseño",""
"6. Evento Octubre 2026","Definir fecha, sede y aforo del evento de octubre","Dato base que bloquea varias tareas: el contenido de la página, la cotización del seguro y la logística dependen de esto.","Por hacer","voluntariadocorporativo@ezer.org.mx","Equipo Voluntariado","Urgent","2026-07-29","2026-08-03","evento,definir","3","","Evento",""
"6. Evento Octubre 2026","Revisar y aprobar el contenido de la página del evento","Validar textos, imágenes, fechas y datos de contacto de la landing construida con IA antes de publicarla.","Por hacer","voluntariadocorporativo@ezer.org.mx","Equipo Voluntariado","High","2026-08-03","2026-08-10","evento,web","4","","Evento",""
"6. Evento Octubre 2026","Publicar la página del evento","Desplegar la landing en producción y verificar que se vea bien en celular y computadora.","Por hacer","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","High","2026-08-10","2026-08-12","evento,web,deploy","4","","Evento",""
"6. Evento Octubre 2026","Conectar el registro de la página a Airtable","Que los registros de la landing lleguen automáticamente a Airtable para no capturarlos a mano, reutilizando el patrón de los endpoints que ya existen en el sitio.","Por hacer","sistemas@encuentromundialdevalores.org","Ethan (Sistemas)","High","2026-08-12","2026-08-19","evento,web,automatización","6","","Automatización",""
"6. Evento Octubre 2026","Contratar el seguro del evento de octubre","Cerrar la póliza con el agente elegido al menos 2 semanas antes del evento, con el número final de voluntarios y beneficiarios confirmado.","Por hacer","voluntariadocorporativo@ezer.org.mx","Equipo Voluntariado","Urgent","2026-09-14","2026-09-28","evento,seguros","3","","Legal",""
