List,Task Name,Task Description,Status,Assignee,Priority,Start Date,Due Date,Tags,Time Estimate (h),Escenario Make,Tipo,Sprint,Bloqueado por
4. Flujo Empresas,S9-4) Configurar el tipo de evento de la segunda reunion en Calendly,"Tipo nuevo para la reunion de definicion del evento, con record_id por utm_content. Al elegir asociacion se le manda la liga para agendarla.",to do,sistemas@encuentromundialdevalores.org,High,2027-01-04,2027-01-17,empresas,1.25,E-13,Configuracion,S9,
4. Flujo Empresas,S9-5) Escenario de la segunda reunion agendada,"Watch Events del nuevo tipo, Update de Fase y fecha, y los dos correos de confirmacion: uno a la empresa y uno a EZER.",to do,sistemas@encuentromundialdevalores.org,High,2027-01-04,2027-01-17,empresas,1.25,E-13,Automatizacion,S9,
4. Flujo Empresas,S9-6) Pruebas de eleccion y segunda cita,Elegir una asociacion desde el boton del correo; verificar que se liga al evento correcto; probar que dos clics no ligan dos veces; reserva real de la segunda cita.,to do,sistemas@encuentromundialdevalores.org,High,2027-01-04,2027-01-17,empresas,1.25,E-12,Pruebas,S9,
4. Flujo Empresas,S10-1) Curso de sensibilizacion: tipo de evento y agendado,"Si la empresa lo pago en la cotizacion, en la segunda reunion se define fecha y lugar. Crear el tipo de evento en Calendly y el escenario que manda la liga solo cuando la casilla Incluye curso esta marcada. Router de dos ramas: con curso y sin curso.",to do,sistemas@encuentromundialdevalores.org,High,2027-01-18,2027-01-31,"empresas,sesion-viernes",1.75,E-14,Automatizacion,S10,
4. Flujo Empresas,S10-2) Plantilla y generacion de la Ficha Tecnica del evento,"La ficha con el minuto a minuto del evento se elabora en la segunda reunion, no antes (C-6). Plantilla de Google Docs mas escenario que la genera y la mueve a la carpeta del evento.",to do,sistemas@encuentromundialdevalores.org,High,2027-01-18,2027-01-31,"empresas,sesion-viernes",1.75,E-15,Automatizacion,S10,
4. Flujo Empresas,S10-3) Crear el evento en Google Calendar,"Ahora si: con la fecha confirmada en la segunda reunion. Guardar el Event ID en Airtable, sin el no se puede cancelar despues.",to do,sistemas@encuentromundialdevalores.org,High,2027-01-18,2027-01-31,empresas,1.25,E-15,Automatizacion,S10,
4. Flujo Empresas,S10-4) Escenario de recordatorio de materiales,"X dias antes del evento, correo con que materiales hay que llevar, cuales ya se juntaron y quienes asisten.",to do,sistemas@encuentromundialdevalores.org,High,2027-01-18,2027-01-31,empresas,1.25,E-16,Automatizacion,S10,
4. Flujo Empresas,S10-5) Formulario de registro de voluntarios asistentes,"Fillout donde se capturan los datos de los voluntarios que van a ir al evento. Se manda con anticipacion, no el dia del evento.",to do,sistemas@encuentromundialdevalores.org,High,2027-01-18,2027-01-31,"empresas,sesion-viernes",2.25,E-17,Configuracion,S10,
4. Flujo Empresas,S11-1) Integrar la firma de la carta de deslinde,"El contrato de deslinde de responsabilidades debe firmarse ANTES del evento (C-7), no en el correo de pasos a seguir como estaba en el plan v1. Definir el mecanismo: firma digital en el mismo formulario, o descarga y firma en papel. Depende de la revision legal.",to do,sistemas@encuentromundialdevalores.org,High,2027-02-01,2027-02-14,"empresas,legal,sesion-viernes",2.5,E-17,Diseno,S11,
4. Flujo Empresas,S11-2) Asignar quien de EZER acompana el evento,Campo nuevo en Eventos y su lugar en el panel. Definir si se asigna a mano o por turnos como el Responsable.,to do,sistemas@encuentromundialdevalores.org,Normal,2027-02-01,2027-02-14,empresas,0.75,E-17,Configuracion,S11,
4. Flujo Empresas,S11-3) Escenario diario de recordatorios 7/3/1,"Trigger a hora fija, buscar eventos con fecha hoy+7, hoy+3 y hoy+1, mandar el correo correspondiente y marcar la casilla. Fijar la zona horaria explicitamente. Copiar el patron de A-2.1 y A-2.2.",to do,sistemas@encuentromundialdevalores.org,High,2027-02-01,2027-02-14,"empresas,sesion-viernes",1.5,E-18,Automatizacion,S11,
4. Flujo Empresas,S11-4) Matriz de casos de fecha de los recordatorios,"Sembrar eventos a exactamente 7, 6 y 8 dias; a 3, 2 y 4; a 1, 0 y 2. Verificar que solo disparan los exactos, y que correr el escenario dos veces el mismo dia no reenvia.",to do,sistemas@encuentromundialdevalores.org,High,2027-02-01,2027-02-14,empresas,1.0,E-18,Pruebas,S11,
4. Flujo Empresas,S11-5) Llamada de confirmacion con registro,"REQUISITO NUEVO (C-7): alguien de EZER debe marcar por telefono para confirmar. Hay que registrar quien marco y en que fecha. Campos en Airtable, tarea en el panel y recordatorio automatico de hacer la llamada.",to do,sistemas@encuentromundialdevalores.org,High,2027-02-01,2027-02-14,"empresas,sesion-viernes",1.25,E-19,Configuracion,S11,
4. Flujo Empresas,S11-6) Carpeta de fotos y aviso al acompanante,"El dia del evento, crear la subcarpeta de fotos en Drive y avisar a quien acompana el evento para que suba las fotos ese mismo dia. Depende de la definicion de S0-7.",to do,sistemas@encuentromundialdevalores.org,High,2027-02-01,2027-02-14,empresas,1.25,E-20,Automatizacion,S11,
4. Flujo Empresas,S12-1) Los tres formularios de feedback por QR,"TRES feedbacks distintos (C-8): de la asociacion, de la empresa y de los participantes. Construir los 3 en Fillout y generar sus codigos QR para imprimir o proyectar el dia del evento.",to do,sistemas@encuentromundialdevalores.org,High,2027-02-15,2027-02-28,"empresas,sesion-viernes",2.75,E-21,Configuracion,S12,
4. Flujo Empresas,S12-2) Correo unico de feedback y fotos a la empresa,"DECISION D-009: un solo correo a la empresa el DIA SIGUIENTE al evento, con la liga del feedback y la liga de la carpeta de fotos. No el mismo dia: no alcanzan a subirse las fotos.",to do,sistemas@encuentromundialdevalores.org,High,2027-02-15,2027-02-28,empresas,1.0,E-21,Automatizacion,S12,
4. Flujo Empresas,S12-3) Pruebas del cierre del evento,Los 3 QR llevan al formulario correcto; el correo del dia siguiente trae ambas ligas; feedback enviado dos veces no duplica el correo de cierre.,to do,sistemas@encuentromundialdevalores.org,High,2027-02-15,2027-02-28,empresas,1.0,E-21,Pruebas,S12,
4. Flujo Empresas,S12-4) Cierre del evento y reporte de impacto,"Al recibir el feedback de la empresa, pasar a Fase 10 Cerrado y mandar el correo de agradecimiento con el mini reporte de impacto.",to do,sistemas@encuentromundialdevalores.org,High,2027-02-15,2027-02-28,empresas,1.25,E-22,Automatizacion,S12,
4. Flujo Empresas,S12-5) Escenario de reactivacion a 5 meses,Escenario programado que a los 5 meses del evento cerrado manda el correo de reactivacion.,to do,sistemas@encuentromundialdevalores.org,High,2027-02-15,2027-02-28,empresas,0.5,E-23,Automatizacion,S12,
4. Flujo Empresas,S12-6) Cancelacion por la empresa,"Boton que borra el evento de Calendar con el Event ID guardado, desmarca los recordatorios y, si ya habia asociacion ligada, le avisa por correo.",to do,sistemas@encuentromundialdevalores.org,High,2027-02-15,2027-02-28,empresas,1.25,E-24,Automatizacion,S12,
4. Flujo Empresas,S12-7) Cancelacion por la asociacion,"Boton Asociacion cancelo: la Fase NO cambia, se vacia Asociacion asignada, se vuelve a correr el motor de match y se le manda a la empresa el nuevo reporte de opciones.",to do,sistemas@encuentromundialdevalores.org,High,2027-02-15,2027-02-28,"empresas,sesion-viernes",1.5,E-25,Automatizacion,S12,
4. Flujo Empresas,S12-8) Panel compartido: botones y filtro por Responsable,"El equipo comparte el login de voluntariado (D-005): un panel compartido con filtro manual por Responsable, no 4 paginas auto-filtradas. Configurar los botones de automatizacion y sus condiciones de visibilidad, que son por campo y no por usuario.",to do,sistemas@encuentromundialdevalores.org,High,2027-02-15,2027-02-28,"empresas,sesion-viernes",1.25,E-26,Configuracion,S12,
4. Flujo Empresas,S13-1) Recorrido end-to-end parte 1: de contacto a pago confirmado,"Contacto, bienvenida, reunion, captura, cotizacion, datos fiscales, recibo del contador, comprobante y confirmacion de pago. Documentar cada desviacion en el momento en que aparece.",to do,sistemas@encuentromundialdevalores.org,Urgent,2027-03-01,2027-03-14,"empresas,sesion-viernes",2.25,,Pruebas,S13,
4. Flujo Empresas,S13-2) Recorrido end-to-end parte 2: de match a cierre,"Motor de match, reporte de opciones, eleccion, segunda reunion, curso, ficha tecnica, materiales, voluntarios, llamada de confirmacion, recordatorios, evento, fotos y los tres feedbacks.",to do,sistemas@encuentromundialdevalores.org,Urgent,2027-03-01,2027-03-14,"empresas,sesion-viernes",2.25,,Pruebas,S13,
4. Flujo Empresas,S13-3) Barrido de error handlers en todos los escenarios,Abrir cada escenario y verificar modulo por modulo que ninguno quedo sin directiva de error. Es tedioso y es lo que evita que un escenario se apague solo en produccion.,to do,sistemas@encuentromundialdevalores.org,High,2027-03-01,2027-03-14,empresas,1.0,,Mejora,S13,
4. Flujo Empresas,S13-4) Manual de operacion y capturas del panel,Escrito desde el lado de quien opera. Debe ABRIR explicando el filtro de Responsable: con cuenta compartida es el primer gesto de cada sesion.,to do,sistemas@encuentromundialdevalores.org,High,2027-03-01,2027-03-14,empresas,0.75,,Documentacion,S13,
4. Flujo Empresas,S13-5) Sesion de capacitacion con el equipo,Una hora en vivo mas preparacion. Que cada quien opere el panel con un caso real durante la sesion. Agendar desde el Sprint 14.,to do,sistemas@encuentromundialdevalores.org,High,2027-03-01,2027-03-14,empresas,1.0,,Gestion,S13,
4. Flujo Empresas,S13-6) Acta de entrega,"Alcance entregado y diferido, inventario de accesos, costos recurrentes mensuales y recomendaciones para la fase siguiente.",to do,sistemas@encuentromundialdevalores.org,High,2027-03-01,2027-03-14,empresas,0.5,,Documentacion,S13,
