List,Task Name,Task Description,Status,Assignee,Priority,Start Date,Due Date,Tags,Time Estimate (h),Escenario Make,Tipo,Sprint,Bloqueado por
4. Flujo Empresas,S2-3) Logica de reparto por turnos Mia/Adri,"Get Record en Config, leer Ultimo responsable asignado, alternar, Update en Eventos y luego en Config. Actualizar Config AL FINAL para no perder un turno si truena a la mitad. Fase inicial 01 Contacto.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-09-14,2026-09-27,"empresas,sesion-viernes",2.5,E-1,Automatizacion,S2,
4. Flujo Empresas,S2-4) Correo #1 a la empresa y Correo #2 interno a EZER,"Segun el video, el contacto dispara DOS correos: uno a la empresa con la liga de Calendly y el flyer del catalogo, y uno a EZER avisando del nuevo interesado. Mapear campos dinamicos y probar.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-09-14,2026-09-27,empresas,2.0,E-1,Automatizacion,S2,
4. Flujo Empresas,S2-5) Candado y error handlers de E-1,Casilla Bienvenida enviada como candado. Retry 3 intentos 5 min en Airtable y Gmail.,Por hacer,sistemas@encuentromundialdevalores.org,High,2026-09-14,2026-09-27,empresas,1.0,E-1,Automatizacion,S2,
4. Flujo Empresas,S2-6) Pruebas del Bloque 1 y ficha tecnica,"Registro sin correo (no debe tronar, debe avisar); dos registros seguidos (alternancia Mia/Adri); reenvio del mismo correo (no debe duplicar organizacion).",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-09-14,2026-09-27,empresas,1.5,E-1,Pruebas,S2,
4. Flujo Empresas,S3-1) Configurar el tipo de evento de Empresas en Calendly,"El tipo YA EXISTE (verificado 28-ago). Anexar el record_id como utm_content en el link que va dentro del Correo #1, y fijar minimo 1 dia de anticipacion. El formulario del invitado pide solo sus datos (D-008).",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-09-28,2026-10-11,empresas,1.0,E-2,Configuracion,S3,
4. Flujo Empresas,S3-2) PROBAR que el utm_content llegue en el webhook,"Prueba critica y previa a construir: agendar una reserva real con utm_content y verificar que aparece en el objeto tracking del payload. Si NO llega, el respaldo es emparejar por correo con el Router de 3 rutas de A-3 (D-002).",Por hacer,sistemas@encuentromundialdevalores.org,Urgent,2026-09-28,2026-10-11,"empresas,pruebas,bloqueante",1.5,E-2,Pruebas,S3,
4. Flujo Empresas,S3-3) Escenario E-2 Reunion agendada,"Watch Events Invitee Created, identificar el registro por el record_id del UTM, Update Fase a 02 Reunion y guardar la fecha, Get Record para leer el Responsable.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-09-28,2026-10-11,empresas,2.0,E-2,Automatizacion,S3,
4. Flujo Empresas,S3-4) Correos de confirmacion de reunion a empresa y a EZER,"Segun el video, agendar dispara dos correos con la liga de la videollamada: uno a la empresa y uno a EZER. Reusar el patron de Google Tasks de A-3 para que el Responsable tenga la liga del formulario interno sin editar el evento compartido.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-09-28,2026-10-11,"empresas,sesion-viernes",2.5,E-2,Automatizacion,S3,
4. Flujo Empresas,S3-5) Escenario diario E-3 seguimiento e inactividad,"Trigger a hora fija. Ruta A: Fase 01 Contacto, exactamente 5 dias sin agendar y recordatorio no enviado, entonces correo de recordatorio y marcar casilla. Ruta B: 20 dias, Fase Inactivo mas aviso interno. La ruta B depende de que la A si se haya enviado.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-09-28,2026-10-11,empresas,2.0,E-3,Automatizacion,S3,
4. Flujo Empresas,S3-6) Pruebas del Bloque 2,"Reserva real de Calendly. Casos limite de fecha: 4 y 5 dias, 19 y 20 dias. Correr el escenario diario dos veces el mismo dia no debe reenviar.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-09-28,2026-10-11,empresas,1.0,E-2,Pruebas,S3,
2. Airtable y Drive — Config y Limpieza,S3-7) Agregar a Eventos los 4 campos del motor de match,"CRITICO para el Sprint 9. La tabla Eventos no guarda que busca la empresa. Crear: Municipio de interes (singleSelect, mismas opciones que Municipio), Numero de voluntarios (number), Beneficiarios de interes (multipleSelects con las 9 opciones de Sector de apoyo) y Fechas posibles (rango o multipleSelects de meses, alineado con Meses disponibles de Organizaciones).",Por hacer,sistemas@encuentromundialdevalores.org,Urgent,2026-09-28,2026-10-11,"empresas,airtable,bloqueante",0.5,E-4,Configuracion,S3,
4. Flujo Empresas,S4-1) Construir el formulario interno en Fillout,"Formulario que el equipo llena despues de la reunion. Debe capturar los 4 datos de match del paso anterior, mas: nombre del evento, duracion, RFC, razon social, uso de CFDI, y la casilla de si quieren curso de sensibilizacion. record_id oculto.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-10-12,2026-10-25,"empresas,sesion-viernes",2.25,E-4,Configuracion,S4,
4. Flujo Empresas,S4-2) Cargar las plantillas de Google Docs,"Plantilla de Cotizacion y de Convenio EZER-Empresa, en una carpeta Plantillas separada. Verificar que cada marcador coincida exactamente con el nombre del campo en Airtable. La Ficha Tecnica del evento ya NO va aqui: se elabora en la segunda reunion (C-6).",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-10-12,2026-10-25,empresas,0.75,E-4,Configuracion,S4,
4. Flujo Empresas,S4-3) Escenario E-4 Captura de datos,"Trigger Fillout, validacion defensiva del record_id ANTES de tocar nada (Search Records + Router + alerta interna, el patron que resolvio el incidente de A-4), Update Airtable con Fase 03, generar la Cotizacion desde plantilla, mover a la carpeta del evento y guardar el link.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-10-12,2026-10-25,"empresas,sesion-viernes",1.75,E-4,Automatizacion,S4,
4. Flujo Empresas,S4-4) Candado de idempotencia y boton Regenerar documento,"Si Cotizacion Doc ID ya tiene valor, no volver a crear. El boton Regenerar SOBRESCRIBE el documento existente para conservar un solo link valido (decision del 28-ago).",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-10-12,2026-10-25,empresas,0.5,E-4,Automatizacion,S4,
4. Flujo Empresas,S4-5) Pruebas del Bloque 3,record_id inexistente (no debe apagar el escenario); contacto_id vacio; reenvio del mismo formulario (no debe duplicar); campo numerico vacio.,Por hacer,sistemas@encuentromundialdevalores.org,High,2026-10-12,2026-10-25,empresas,1.0,E-4,Pruebas,S4,
4. Flujo Empresas,S4-6) Boton Enviar cotizacion: exportar PDF,Automatizacion nativa de Airtable hacia webhook de Make. Exportar a PDF la Cotizacion y el Convenio. Probar la exportacion desde el primer minuto: las tablas anidadas pierden formato.,Por hacer,sistemas@encuentromundialdevalores.org,High,2026-10-12,2026-10-25,empresas,1.25,E-5,Automatizacion,S4,
4. Flujo Empresas,S4-7) Correo de cotizacion a la empresa con boton de siguientes pasos,"CLAVE del nuevo flujo: el correo lleva los PDF adjuntos Y un boton que dice si te interesa, pica aqui para los siguientes pasos. Ese boton lleva al Fillout de datos fiscales del Sprint 6. Copia a EZER en correo separado.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-10-12,2026-10-25,"empresas,sesion-viernes",1.5,E-5,Automatizacion,S4,
4. Flujo Empresas,S4-8) Candado reforzado contra doble envio,"Punto de mayor riesgo: doble clic manda dos cotizaciones. Verificar Fecha de cotizacion enviada antes de enviar y usar Ignore mas alerta interna en el Gmail, NO Retry. Aqui reintentar es peor que fallar.",Por hacer,sistemas@encuentromundialdevalores.org,Urgent,2026-10-12,2026-10-25,"empresas,idempotencia,riesgo",1.0,E-5,Automatizacion,S4,
4. Flujo Empresas,S5-1) Escenario diario de seguimiento sin respuesta,"Fase 05 mas 7 dias desde el envio y sin datos fiscales recibidos, entonces correo de seguimiento y marcar casilla.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-10-26,2026-11-08,empresas,1.25,E-6,Automatizacion,S5,
4. Flujo Empresas,S5-2) Pruebas del Bloque 4,"Doble clic en el boton (un solo correo); cotizacion sin convenio generado (debe avisar, no enviar PDF vacio); casos limite de 6 y 7 dias del seguimiento; verificar que el boton de siguientes pasos abre el Fillout correcto.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-10-26,2026-11-08,empresas,1.75,E-5,Pruebas,S5,
4. Flujo Empresas,S5-3) Disenar y crear el Numero de referencia en Airtable,"CONCEPTO NUEVO Y TRANSVERSAL (C-3). Es la llave que hila 3 formularios y 6 correos de la etapa fiscal. Definir el formato (ej. EMP-2026-0001), crearlo como campo formula o autonumber en Eventos, y documentar en que correos y formularios aparece.",Por hacer,sistemas@encuentromundialdevalores.org,Urgent,2026-10-26,2026-11-08,"empresas,airtable,diseno",2.0,E-7,Diseno,S5,
4. Flujo Empresas,S5-4) Construir el Fillout de datos fiscales y siguientes pasos,"Formulario al que lleva el boton del correo de cotizacion. Contiene: desglose de los datos bancarios de EZER, los pasos que siguen, subida de la constancia de situacion fiscal, y los datos necesarios para elaborar el recibo. record_id y numero de referencia ocultos.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-10-26,2026-11-08,"empresas,sesion-viernes",2.75,E-7,Configuracion,S5,
4. Flujo Empresas,S5-5) Correo de confirmacion a la empresa,"Al enviar el formulario, la empresa recibe: ya subiste tus datos, pronto te contactamos.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-10-26,2026-11-08,empresas,1.0,E-7,Automatizacion,S5,
4. Flujo Empresas,S5-6) Correo a EZER con copia al contador,"ACTOR NUEVO (C-4). El correo dice que la empresa X ya lleno sus datos para elaborar el recibo, incluye el numero de referencia, y lleva una liga para que el contador suba el recibo con ese numero.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-10-26,2026-11-08,empresas,1.25,E-7,Automatizacion,S5,
4. Flujo Empresas,S6-1) Pruebas de la etapa fiscal,Verificar que el numero de referencia se genera una sola vez y no cambia; reenvio del formulario (no debe generar un segundo numero); constancia sin archivo adjunto; correo al contador con la liga correcta y el numero correcto.,Por hacer,sistemas@encuentromundialdevalores.org,High,2026-11-09,2026-11-22,empresas,1.25,E-7,Pruebas,S6,
4. Flujo Empresas,S6-2) Construir el Fillout del contador,Formulario donde el contador sube el recibo usando el numero de referencia. Debe validar que el numero exista antes de aceptar el archivo.,Por hacer,sistemas@encuentromundialdevalores.org,High,2026-11-09,2026-11-22,"empresas,sesion-viernes",2.25,E-8,Configuracion,S6,
4. Flujo Empresas,"S6-3) Escenario E-8: al subir el recibo, avisar a las dos partes",Watch Records sobre Recibos. Correo a la empresa CON el recibo adjunto y una liga para que suban su comprobante de pago con el numero de referencia. Correo a EZER avisando que ya se envio el recibo.,Por hacer,sistemas@encuentromundialdevalores.org,High,2026-11-09,2026-11-22,"empresas,sesion-viernes",1.75,E-8,Automatizacion,S6,
4. Flujo Empresas,S6-4) Ligar el recibo al Evento por numero de referencia,"El recibo debe quedar vinculado al evento correcto usando el numero de referencia, no por busqueda de nombre. Manejar el caso de numero inexistente con alerta interna.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-11-09,2026-11-22,empresas,1.25,E-8,Automatizacion,S6,
4. Flujo Empresas,S6-5) Candado y error handlers de la etapa del recibo,"Ignore mas alerta en los Gmail (un recibo duplicado es grave), Retry en Airtable y Drive.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-11-09,2026-11-22,empresas,0.5,E-8,Automatizacion,S6,
4. Flujo Empresas,S6-6) Pruebas de la etapa del recibo,Recibo con numero de referencia inexistente; recibo subido dos veces (no debe mandar dos correos); recibo sin archivo; verificar que la liga del comprobante llega con el numero precargado.,Por hacer,sistemas@encuentromundialdevalores.org,High,2026-11-09,2026-11-22,empresas,1.25,E-8,Pruebas,S6,
4. Flujo Empresas,S6-7) Construir el Fillout de comprobante de pago,Formulario donde la empresa sube su comprobante con el numero de referencia. Fillout Free si permite subir archivos (verificado 28-ago).,Por hacer,sistemas@encuentromundialdevalores.org,High,2026-11-09,2026-11-22,empresas,1.75,E-9,Configuracion,S6,
4. Flujo Empresas,S7-1) Correos de confirmacion del comprobante,"Correo a la empresa: ya recibimos tu comprobante. Correo a EZER: se recibio el comprobante de la empresa X. El correo a EZER DEBE incluir la liga conecta con la asociacion correspondiente, que lleva al motor de match del Sprint 9.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-11-23,2026-12-06,"empresas,sesion-viernes",1.5,E-9,Automatizacion,S7,
4. Flujo Empresas,S7-2) Boton Confirmar pago,"Registrar Fecha de transferencia y pasar a Fase 06 Pago confirmado. A diferencia del plan v1, aqui NO se crea todavia el evento en Calendar: la fecha del evento se define hasta la segunda reunion (C-6).",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-11-23,2026-12-06,empresas,1.25,E-10,Automatizacion,S7,
4. Flujo Empresas,S7-3) Correo interno a contabilidad,"Aviso a contabilidad de que el pago quedo confirmado, con el numero de referencia.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-11-23,2026-12-06,empresas,1.0,E-10,Automatizacion,S7,
4. Flujo Empresas,S7-4) Pruebas de la etapa de pago,Comprobante con numero de referencia invalido; doble envio del comprobante; doble clic en Confirmar pago; verificar que la liga de conectar con asociacion abre el registro correcto.,Por hacer,sistemas@encuentromundialdevalores.org,High,2026-11-23,2026-12-06,empresas,1.75,E-9,Pruebas,S7,
4. Flujo Empresas,S7-5) Definir la formula de puntuacion del match,"LA PIEZA MAS IMPORTANTE DEL PROYECTO. Definir como se calcula el porcentaje sobre las 4 variables: municipio, numero de voluntarios, tipo de beneficiario y fechas. Decidir el peso de cada una (no tienen por que pesar igual), como se puntua una coincidencia parcial, y el umbral minimo para siquiera mostrar una asociacion. NO usa IA: es una formula determinista, explicable y reproducible.",Por hacer,sistemas@encuentromundialdevalores.org,Urgent,2026-11-23,2026-12-06,"empresas,match,diseno,sesion-viernes",3.0,E-11,Diseno,S7,
2. Airtable y Drive — Config y Limpieza,S7-6) Normalizar los campos de cruce en ambas tablas,"Para que el cruce funcione, las opciones deben ser identicas en Organizaciones y en Eventos. Revisar Municipio, Sector de apoyo vs Beneficiarios de interes, Meses disponibles vs Fechas posibles, y Voluntarios que puede recibir vs Numero de voluntarios. Alinear valores y documentar el mapeo.",Por hacer,sistemas@encuentromundialdevalores.org,Urgent,2026-11-23,2026-12-06,"empresas,airtable,match,sesion-viernes",1.25,E-11,Configuracion,S7,
4. Flujo Empresas,S8-1) Construir el script de puntuacion,"Script de Airtable (Scripting) o escenario de Make que recorre las asociaciones candidatas, calcula la puntuacion de cada variable y el total, y escribe el resultado ordenado. Debe devolver el desglose por variable, no solo el porcentaje: es lo que alimenta el semaforo.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-12-07,2026-12-20,"empresas,sesion-viernes",2.0,E-11,Automatizacion,S8,
4. Flujo Empresas,S8-2) Pruebas de la formula con datos reales,"Sembrar 5 asociaciones con perfiles distintos y una empresa, y verificar a mano que los porcentajes son los esperados. Casos limite: ninguna asociacion supera el umbral; empate de porcentajes; asociacion que coincide en todo menos fechas (el ejemplo del video).",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-12-07,2026-12-20,empresas,1.0,E-11,Pruebas,S8,
4. Flujo Empresas,S8-3) Construir la interfaz de busqueda de empresa,"Pagina de Airtable donde se escribe el nombre de la empresa y se muestran sus datos de match: municipio, numero de voluntarios, beneficiarios y fechas. Es la pantalla que describe el video.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-12-07,2026-12-20,"empresas,sesion-viernes",1.25,E-11,Configuracion,S8,
4. Flujo Empresas,S8-4) Agregar el boton Busca que asociacion hace match,Boton que dispara el script del Sprint 9 y muestra el ranking de resultados en la misma pantalla.,Por hacer,sistemas@encuentromundialdevalores.org,High,2026-12-07,2026-12-20,empresas,1.75,E-11,Configuracion,S8,
4. Flujo Empresas,S8-5) Construir el semaforo por variable,"Cada asociacion del ranking muestra su porcentaje total y el desglose de las 4 variables en verde o rojo. Es lo que hace el resultado explicable: sin el desglose, el porcentaje es un numero sin argumento.",Por hacer,sistemas@encuentromundialdevalores.org,High,2026-12-07,2026-12-20,"empresas,sesion-viernes",2.75,E-11,Configuracion,S8,
4. Flujo Empresas,S9-1) Pruebas de la interfaz completa,"Recorrido de buscar empresa, correr el match y leer el ranking, con al menos 3 empresas distintas. Verificar que el semaforo corresponde a la formula y que el orden del ranking es correcto.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-01-04,2027-01-17,"empresas,sesion-viernes",2.25,E-11,Pruebas,S9,
4. Flujo Empresas,S9-2) Generar el reporte de opciones para la empresa,"DECISION del 28-ago: EZER revisa el ranking y manda un correo con las 2-3 mejores opciones, cada una con su porcentaje y su desglose. El equipo filtra antes de mostrar: no se le manda el ranking crudo a la empresa.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-01-04,2027-01-17,"empresas,sesion-viernes",1.5,E-12,Automatizacion,S9,
4. Flujo Empresas,S9-3) Botones de eleccion en el correo,Cada opcion del reporte lleva un boton para elegirla. Al picarlo se liga la asociacion al evento en Airtable y se avisa a EZER. Es un clic para la empresa.,Por hacer,sistemas@encuentromundialdevalores.org,High,2027-01-04,2027-01-17,"empresas,sesion-viernes",1.5,E-12,Automatizacion,S9,
4. Flujo Empresas,S9-4) Configurar el tipo de evento de la segunda reunion en Calendly,"Tipo nuevo para la reunion de definicion del evento, con record_id por utm_content. Al elegir asociacion se le manda la liga para agendarla.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-01-04,2027-01-17,empresas,1.25,E-13,Configuracion,S9,
4. Flujo Empresas,S9-5) Escenario de la segunda reunion agendada,"Watch Events del nuevo tipo, Update de Fase y fecha, y los dos correos de confirmacion: uno a la empresa y uno a EZER.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-01-04,2027-01-17,empresas,1.25,E-13,Automatizacion,S9,
4. Flujo Empresas,S9-6) Pruebas de eleccion y segunda cita,Elegir una asociacion desde el boton del correo; verificar que se liga al evento correcto; probar que dos clics no ligan dos veces; reserva real de la segunda cita.,Por hacer,sistemas@encuentromundialdevalores.org,High,2027-01-04,2027-01-17,empresas,1.25,E-12,Pruebas,S9,
4. Flujo Empresas,S10-1) Curso de sensibilizacion: tipo de evento y agendado,"Si la empresa lo pago en la cotizacion, en la segunda reunion se define fecha y lugar. Crear el tipo de evento en Calendly y el escenario que manda la liga solo cuando la casilla Incluye curso esta marcada. Router de dos ramas: con curso y sin curso.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-01-18,2027-01-31,"empresas,sesion-viernes",1.75,E-14,Automatizacion,S10,
4. Flujo Empresas,S10-2) Plantilla y generacion de la Ficha Tecnica del evento,"La ficha con el minuto a minuto del evento se elabora en la segunda reunion, no antes (C-6). Plantilla de Google Docs mas escenario que la genera y la mueve a la carpeta del evento.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-01-18,2027-01-31,"empresas,sesion-viernes",1.75,E-15,Automatizacion,S10,
4. Flujo Empresas,S10-3) Crear el evento en Google Calendar,"Ahora si: con la fecha confirmada en la segunda reunion. Guardar el Event ID en Airtable, sin el no se puede cancelar despues.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-01-18,2027-01-31,empresas,1.25,E-15,Automatizacion,S10,
4. Flujo Empresas,S10-4) Escenario de recordatorio de materiales,"X dias antes del evento, correo con que materiales hay que llevar, cuales ya se juntaron y quienes asisten.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-01-18,2027-01-31,empresas,1.25,E-16,Automatizacion,S10,
4. Flujo Empresas,S10-5) Formulario de registro de voluntarios asistentes,"Fillout donde se capturan los datos de los voluntarios que van a ir al evento. Se manda con anticipacion, no el dia del evento.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-01-18,2027-01-31,"empresas,sesion-viernes",2.25,E-17,Configuracion,S10,
4. Flujo Empresas,S11-1) Integrar la firma de la carta de deslinde,"El contrato de deslinde de responsabilidades debe firmarse ANTES del evento (C-7), no en el correo de pasos a seguir como estaba en el plan v1. Definir el mecanismo: firma digital en el mismo formulario, o descarga y firma en papel. Depende de la revision legal.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-02-01,2027-02-14,"empresas,legal,sesion-viernes",2.5,E-17,Diseno,S11,
4. Flujo Empresas,S11-2) Asignar quien de EZER acompana el evento,Campo nuevo en Eventos y su lugar en el panel. Definir si se asigna a mano o por turnos como el Responsable.,Por hacer,sistemas@encuentromundialdevalores.org,Normal,2027-02-01,2027-02-14,empresas,0.75,E-17,Configuracion,S11,
4. Flujo Empresas,S11-3) Escenario diario de recordatorios 7/3/1,"Trigger a hora fija, buscar eventos con fecha hoy+7, hoy+3 y hoy+1, mandar el correo correspondiente y marcar la casilla. Fijar la zona horaria explicitamente. Copiar el patron de A-2.1 y A-2.2.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-02-01,2027-02-14,"empresas,sesion-viernes",1.5,E-18,Automatizacion,S11,
4. Flujo Empresas,S11-4) Matriz de casos de fecha de los recordatorios,"Sembrar eventos a exactamente 7, 6 y 8 dias; a 3, 2 y 4; a 1, 0 y 2. Verificar que solo disparan los exactos, y que correr el escenario dos veces el mismo dia no reenvia.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-02-01,2027-02-14,empresas,1.0,E-18,Pruebas,S11,
4. Flujo Empresas,S11-5) Llamada de confirmacion con registro,"REQUISITO NUEVO (C-7): alguien de EZER debe marcar por telefono para confirmar. Hay que registrar quien marco y en que fecha. Campos en Airtable, tarea en el panel y recordatorio automatico de hacer la llamada.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-02-01,2027-02-14,"empresas,sesion-viernes",1.25,E-19,Configuracion,S11,
4. Flujo Empresas,S11-6) Carpeta de fotos y aviso al acompanante,"El dia del evento, crear la subcarpeta de fotos en Drive y avisar a quien acompana el evento para que suba las fotos ese mismo dia. Depende de la definicion de S0-7.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-02-01,2027-02-14,empresas,1.25,E-20,Automatizacion,S11,
4. Flujo Empresas,S12-1) Los tres formularios de feedback por QR,"TRES feedbacks distintos (C-8): de la asociacion, de la empresa y de los participantes. Construir los 3 en Fillout y generar sus codigos QR para imprimir o proyectar el dia del evento.",Por hacer,sistemas@encuentromundialdevalores.org,High,2027-02-15,2027-02-28,"empresas,sesion-viernes",2.75,E-21,Configuracion,S12,
